No,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link,Accession
551,PLD3,Phospholipase D Family Member 3,Protein Coding,43,GC19P040348,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD3,Q8IV08
552,PRIM1,DNA Primase Subunit 1,Protein Coding,43,GC12M056731,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRIM1,P49642
553,RAB1A,"RAB1A, Member RAS Oncogene Family",Protein Coding,43,GC02M065072,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB1A,P62820
554,NIN,Ninein,Protein Coding,43,GC14M050719,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIN,Q8N4C6
555,PABPC1,Poly(A) Binding Protein Cytoplasmic 1,Protein Coding,43,GC08M100685,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC1,P11940
556,RBX1,Ring-Box 1,Protein Coding,43,GC22P040951,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1,P62877
557,LARP7,"La Ribonucleoprotein 7, Transcriptional Regulator",Protein Coding,42,GC04P112636,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP7,Q4G0J3
558,DNAJC19,DnaJ Heat Shock Protein Family (Hsp40) Member C19,Protein Coding,42,GC03M180983,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC19,Q96DA6
559,CYB5B,Cytochrome B5 Type B,Protein Coding,42,GC16P069424,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5B,O43169
560,AKAP8,A-Kinase Anchoring Protein 8,Protein Coding,42,GC19M015354,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP8,O43823
561,EIF4H,Eukaryotic Translation Initiation Factor 4H,Protein Coding,42,GC07P074174,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4H,Q15056
562,VPS11,VPS11 Core Subunit Of CORVET And HOPS Complexes,Protein Coding,42,GC11P119067,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS11,Q9H270
563,PRIM2,DNA Primase Subunit 2,Protein Coding,42,GC06P057314,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRIM2,P49643
564,SLC30A9,Solute Carrier Family 30 Member 9,Protein Coding,42,GC04P041992,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A9,Q6PML9
565,PCNT,Pericentrin,Protein Coding,42,GC21P046324,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNT,O95613
566,NPC2,NPC Intracellular Cholesterol Transporter 2,Protein Coding,42,GC14M074476,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC2,P61916
567,RAB5C,"RAB5C, Member RAS Oncogene Family",Protein Coding,42,GC17M042124,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB5C,P51148
568,PABPC4,Poly(A) Binding Protein Cytoplasmic 4,Protein Coding,42,GC01M039560,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC4,Q13310
569,ACSL3,Acyl-CoA Synthetase Long Chain Family Member 3,Protein Coding,41,GC02P222860,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSL3,O95573
570,FBN2,Fibrillin 2,Protein Coding,41,GC05M128257,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN2,P35556
571,HS2ST1,Heparan Sulfate 2-O-Sulfotransferase 1,Protein Coding,41,GC01P086914,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HS2ST1,Q7LGA3
572,HS6ST2,Heparan Sulfate 6-O-Sulfotransferase 2,Protein Coding,41,GC0XM132626,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HS6ST2,Q96MM7
573,MAT2B,Methionine Adenosyltransferase 2B,Protein Coding,41,GC05P163504,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAT2B,Q9NZL9
574,FKBP10,FKBP Prolyl Isomerase 10,Protein Coding,41,GC17P041812,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP10,Q96AY3
575,GNG5,G Protein Subunit Gamma 5,Protein Coding,41,GC01M084498,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNG5,P63218
576,GORASP1,Golgi Reassembly Stacking Protein 1,Protein Coding,41,GC03M039096,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GORASP1,Q9BQQ3
577,GOLGA2,Golgin A2,Protein Coding,41,GC09M128255,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA2,Q08379
578,EXOSC8,Exosome Component 8,Protein Coding,41,GC13P036998,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC8,Q96B26
579,ERP44,Endoplasmic Reticulum Protein 44,Protein Coding,41,GC09M099979,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERP44,Q9BS26
580,EIF4E2,Eukaryotic Translation Initiation Factor 4E Family Member 2,Protein Coding,41,GC02P232550,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4E2,O60573
581,NUP88,Nucleoporin 88,Protein Coding,41,GC17M005451,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP88,Q99567
582,OS9,OS9 Endoplasmic Reticulum Lectin,Protein Coding,41,GC12P057693,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OS9,Q13438
583,RNF41,Ring Finger Protein 41,Protein Coding,41,GC12M056202,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF41,Q9H4P4
584,UPF1,UPF1 RNA Helicase And ATPase,Protein Coding,41,GC19P018831,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPF1,Q92900
585,STC2,Stanniocalcin 2,Protein Coding,41,GC05M173314,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC2,O76061
586,POLA2,"DNA Polymerase Alpha 2, Accessory Subunit",Protein Coding,41,GC11P065315,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA2,Q14181
587,SMOC1,SPARC Related Modular Calcium Binding 1,Protein Coding,41,GC14P069854,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMOC1,Q9H4F8
588,REEP5,Receptor Accessory Protein 5,Protein Coding,41,GC05M112876,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REEP5,Q00765
589,SLC44A2,Solute Carrier Family 44 Member 2,Protein Coding,41,GC19P010602,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC44A2,Q8IWA5
590,NUP210,Nucleoporin 210,Protein Coding,41,GC03M016910,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP210,Q8TEM1
591,PCSK6,Proprotein Convertase Subtilisin/Kexin Type 6,Protein Coding,41,GC15M107497,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK6,P29122
592,PDE4DIP,Phosphodiesterase 4D Interacting Protein,Protein Coding,41,GC01P148808,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4DIP,Q5VU43
593,RAB14,"RAB14, Member RAS Oncogene Family",Protein Coding,41,GC09M121178,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB14,P61106
594,RAB8A,"RAB8A, Member RAS Oncogene Family",Protein Coding,41,GC19P016111,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB8A,P61006
595,NDUFAF2,NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 2,Protein Coding,41,GC05P060945,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF2,Q8N183
596,MOV10,Mov10 RISC Complex RNA Helicase,Protein Coding,41,GC01P112673,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOV10,Q9HCE1
597,RAB18,"RAB18, Member RAS Oncogene Family",Protein Coding,41,GC10P027504,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB18,Q9NP72
598,SIL1,SIL1 Nucleotide Exchange Factor,Protein Coding,41,GC05M138957,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIL1,Q9H173
599,ATE1,Arginyltransferase 1,Protein Coding,40,GC10M121740,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATE1,O95260
600,ANO6,Anoctamin 6,Protein Coding,40,GC12P045215,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO6,Q4KMQ2
601,HOOK1,Hook Microtubule Tethering Protein 1,Protein Coding,40,GC01P059814,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOOK1,Q9UJC3
602,GRPEL1,"GrpE Like 1, Mitochondrial",Protein Coding,40,GC04M007060,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRPEL1,Q9HAV7
603,GIGYF2,GRB10 Interacting GYF Protein 2,Protein Coding,40,GC02P232698,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIGYF2,Q6Y7W6
604,ERGIC1,Endoplasmic Reticulum-Golgi Intermediate Compartment 1,Protein Coding,40,GC05P172834,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERGIC1,Q969X5
605,CWC27,CWC27 Spliceosome Associated Cyclophilin,Protein Coding,40,GC05P064768,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CWC27,Q6UX04
606,AATF,Apoptosis Antagonizing Transcription Factor,Protein Coding,40,GC17P036948,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AATF,Q9NY61
607,ALG11,"ALG11 Alpha-1,2-Mannosyltransferase",Protein Coding,40,GC13P052012,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG11,Q2TAA5
608,BZW2,Basic Leucine Zipper And W2 Domains 2,Protein Coding,40,GC07P016646,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BZW2,Q9Y6E2
609,CEP250,Centrosomal Protein 250,Protein Coding,40,GC20P035455,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP250,Q9BV73
610,CRTC3,CREB Regulated Transcription Coactivator 3,Protein Coding,40,GC15P090529,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC3,Q6UUV7
611,TOR1AIP1,Torsin 1A Interacting Protein 1,Protein Coding,40,GC01P179882,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR1AIP1,Q5JTV8
612,SRP19,Signal Recognition Particle 19,Protein Coding,40,GC05P112862,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP19,P09132
613,SRP72,Signal Recognition Particle 72,Protein Coding,40,GC04P056466,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP72,O76094
614,STOM,Stomatin,Protein Coding,40,GC09M121338,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STOM,P27105
615,PITRM1,Pitrilysin Metallopeptidase 1,Protein Coding,40,GC10M003138,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITRM1,Q5JRX3
616,SNIP1,Smad Nuclear Interacting Protein 1,Protein Coding,40,GC01M037534,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNIP1,Q8TAD8
617,PSMD8,"Proteasome 26S Subunit, Non-ATPase 8",Protein Coding,40,GC19P038374,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD8,P48556
618,LARP1,"La Ribonucleoprotein 1, Translational Regulator",Protein Coding,39,GC05P154682,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARP1,Q6PKG0
619,HECTD1,HECT Domain E3 Ubiquitin Protein Ligase 1,Protein Coding,39,GC14M031100,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HECTD1,Q9ULT8
620,EXOSC5,Exosome Component 5,Protein Coding,39,GC19M046803,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXOSC5,Q9NQT4
621,CEP135,Centrosomal Protein 135,Protein Coding,39,GC04P055948,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP135,Q66GS9
622,CLCC1,Chloride Channel CLIC Like 1,Protein Coding,39,GC01M108946,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCC1,Q96S66
623,ALG5,ALG5 Dolichyl-Phosphate Beta-Glucosyltransferase,Protein Coding,39,GC13M036949,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALG5,Q9Y673
624,TUBGCP2,Tubulin Gamma Complex Associated Protein 2,Protein Coding,39,GC10M133278,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBGCP2,Q9BSJ2
625,VPS39,VPS39 Subunit Of HOPS Complex,Protein Coding,39,GC15M042159,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS39,Q96JC1
626,REEP6,Receptor Accessory Protein 6,Protein Coding,39,GC19P001491,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REEP6,Q96HR9
627,SDF2,Stromal Cell Derived Factor 2,Protein Coding,39,GC17M031083,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDF2,Q99470
628,MRPS25,Mitochondrial Ribosomal Protein S25,Protein Coding,39,GC03M016929,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS25,P82663
629,MRPS2,Mitochondrial Ribosomal Protein S2,Protein Coding,39,GC09P135499,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS2,Q9Y399
630,SLC30A7,Solute Carrier Family 30 Member 7,Protein Coding,39,GC01P100896,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A7,Q8NEW0
631,DDX10,DEAD-Box Helicase 10,Protein Coding,38,GC11P108569,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX10,Q13206
632,INHBE,Inhibin Subunit Beta E,Protein Coding,38,GC12P057452,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBE,P58166
633,LMAN2,"Lectin, Mannose Binding 2",Protein Coding,38,GC05M177493,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMAN2,Q12907
634,JAKMIP1,Janus Kinase And Microtubule Interacting Protein 1,Protein Coding,38,GC04M006026,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAKMIP1,Q96N16
635,GCC2,GRIP And Coiled-Coil Domain Containing 2,Protein Coding,38,GC02P108432,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCC2,Q8IWJ2
636,GOLGA7,Golgin A7,Protein Coding,38,GC08P041467,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA7,Q7Z5G4
637,CEP68,Centrosomal Protein 68,Protein Coding,38,GC02P065056,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP68,Q76N32
638,DDX21,DExD-Box Helicase 21,Protein Coding,38,GC10P068956,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX21,Q9NR30
639,AP2A2,Adaptor Related Protein Complex 2 Subunit Alpha 2,Protein Coding,38,GC11P000924,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP2A2,O94973
640,CHPF,Chondroitin Polymerizing Factor,Protein Coding,38,GC02M219538,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHPF,Q8IZ52
641,TBCA,Tubulin Folding Cofactor A,Protein Coding,38,GC05M077691,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBCA,O75347
642,TUBGCP3,Tubulin Gamma Complex Associated Protein 3,Protein Coding,38,GC13M112485,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBGCP3,Q96CW5
643,NINL,Ninein Like,Protein Coding,38,GC20M025452,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NINL,Q9Y2I6
644,NUP54,Nucleoporin 54,Protein Coding,38,GC04M076114,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUP54,Q7Z3B4
645,NPTX1,Neuronal Pentraxin 1,Protein Coding,38,GC17M080466,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPTX1,Q15818
646,MDN1,Midasin AAA ATPase 1,Protein Coding,38,GC06M089642,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDN1,Q9NU22
647,UGGT2,UDP-Glucose Glycoprotein Glucosyltransferase 2,Protein Coding,38,GC13M095801,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGGT2,Q9NYU1
648,SUN2,Sad1 And UNC84 Domain Containing 2,Protein Coding,38,GC22M048522,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUN2,Q9UH99
649,THTPA,Thiamine Triphosphatase,Protein Coding,38,GC14P026310,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THTPA,Q9BU02
650,TIMM9,Translocase Of Inner Mitochondrial Membrane 9,Protein Coding,38,GC14M058408,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM9,Q9Y5J7
651,TIMM8B,Translocase Of Inner Mitochondrial Membrane 8 Homolog B,Protein Coding,38,GC11M112084,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM8B,Q9Y5J9
652,PPIL3,Peptidylprolyl Isomerase Like 3,Protein Coding,38,GC02M200870,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIL3,Q9H2H8
653,SLU7,"SLU7 Homolog, Splicing Factor",Protein Coding,38,GC05M160401,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLU7,O95391
654,NUTF2,Nuclear Transport Factor 2,Protein Coding,38,GC16P067846,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUTF2,P61970
655,MPHOSPH10,M-Phase Phosphoprotein 10,Protein Coding,38,GC02P071130,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPHOSPH10,O00566
656,MTCH1,Mitochondrial Carrier 1,Protein Coding,38,GC06M047040,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTCH1,Q9NZJ7
657,COLGALT1,Collagen Beta(1-O)Galactosyltransferase 1,Protein Coding,37,GC19P017555,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COLGALT1,Q8NBJ5
658,CNTRL,Centriolin,Protein Coding,37,GC09P121074,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTRL,Q7Z7A1
659,INTS4,Integrator Complex Subunit 4,Protein Coding,37,GC11M077878,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INTS4,Q96HW7
660,GOLGB1,Golgin B1,Protein Coding,37,GC03M121663,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGB1,Q14789
661,ERLEC1,Endoplasmic Reticulum Lectin 1,Protein Coding,37,GC02P053786,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERLEC1,Q96DZ1
662,DCAKD,Dephospho-CoA Kinase Domain Containing,Protein Coding,37,GC17M045023,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAKD,Q8WVC6
663,CHPF2,Chondroitin Polymerizing Factor 2,Protein Coding,37,GC07P151232,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHPF2,Q9P2E5
664,ATP13A3,ATPase 13A3,Protein Coding,37,GC03M194402,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP13A3,Q9H7F0
665,ZNF318,Zinc Finger Protein 318,Protein Coding,37,GC06M047133,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF318,Q5VUA4
666,MRPS5,Mitochondrial Ribosomal Protein S5,Protein Coding,37,GC02M096124,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRPS5,P82675
667,PLEKHA5,Pleckstrin Homology Domain Containing A5,Protein Coding,37,GC12P019129,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHA5,Q9HAU0
668,PDZD11,PDZ Domain Containing 11,Protein Coding,37,GC0XM070286,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDZD11,Q5EBL8
669,PLEKHF2,Pleckstrin Homology And FYVE Domain Containing 2,Protein Coding,37,GC08P095133,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHF2,Q9H8W4
670,ZDHHC5,Zinc Finger DHHC-Type Palmitoyltransferase 5,Protein Coding,37,GC11P057670,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC5,Q9C0B5
671,FKBP7,FKBP Prolyl Isomerase 7,Protein Coding,36,GC02M178463,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP7,Q9Y680
672,GCC1,GRIP And Coiled-Coil Domain Containing 1,Protein Coding,36,GC07M127580,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCC1,Q96CN9
673,GOLGA3,Golgin A3,Protein Coding,36,GC12M132768,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOLGA3,Q08378
674,DCAF7,DDB1 And CUL4 Associated Factor 7,Protein Coding,36,GC17P063550,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF7,P61962
675,EDEM3,ER Degradation Enhancing Alpha-Mannosidase Like Protein 3,Protein Coding,36,GC01M184690,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDEM3,Q9BZQ6
676,AAR2,AAR2 Splicing Factor,Protein Coding,36,GC20P036236,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAR2,Q9Y312
677,EMC1,ER Membrane Protein Complex Subunit 1,Protein Coding,36,GC01M019215,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMC1,Q8N766
678,TRIM59,Tripartite Motif Containing 59,Protein Coding,36,GC03M160432,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM59,Q8IWR1
679,UBAP2L,Ubiquitin Associated Protein 2 Like,Protein Coding,36,GC01P154219,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBAP2L,Q14157
680,ZNF503,Zinc Finger Protein 503,Protein Coding,36,GC10M075280,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF503,Q96F45
681,USP54,Ubiquitin Specific Peptidase 54,Protein Coding,36,GC10M073497,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP54,Q70EL1
682,TIMM10,Translocase Of Inner Mitochondrial Membrane 10,Protein Coding,36,GC11M069078,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM10,P62072
683,TIMM10B,Translocase Of Inner Mitochondrial Membrane 10B,Protein Coding,36,GC11P006482,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM10B,Q9Y5J6
684,SBNO1,Strawberry Notch Homolog 1,Protein Coding,36,GC12M123289,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBNO1,A3KN83
685,NSD2,Nuclear Receptor Binding SET Domain Protein 2,Protein Coding,36,GC04P001872,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSD2,O96028
686,QSOX2,Quiescin Sulfhydryl Oxidase 2,Protein Coding,36,GC09M136206,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=QSOX2,Q6ZRP7
687,SCCPDH,Saccharopine Dehydrogenase (Putative),Protein Coding,36,GC01P246724,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCCPDH,Q8NBX0
688,ZC3H7A,Zinc Finger CCCH-Type Containing 7A,Protein Coding,36,GC16M011750,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H7A,Q8IWR0
689,CEP350,Centrosomal Protein 350,Protein Coding,35,GC01P179955,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP350,Q5VT06
690,MIPOL1,Mirror-Image Polydactyly 1,Protein Coding,35,GC14P037197,0.965649724,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIPOL1,Q8TD10
